"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"waveOut","waveOut","10","tfnflq2r","5536","cnn_lstm_50_10_thesis_pretrained_49"
"fist","fist","9","jz9z6bvb","5444","cnn_lstm_50_10_thesis_pretrained_48"
"fist","noGesture","9","jz9z6bvb","13","cnn_lstm_50_10_thesis_pretrained_48"
"fist","open","9","jz9z6bvb","692","cnn_lstm_50_10_thesis_pretrained_48"
"fist","pinch","9","jz9z6bvb","667","cnn_lstm_50_10_thesis_pretrained_48"
"fist","waveIn","9","jz9z6bvb","782","cnn_lstm_50_10_thesis_pretrained_48"
"fist","waveOut","9","jz9z6bvb","52","cnn_lstm_50_10_thesis_pretrained_48"
"noGesture","fist","9","jz9z6bvb","3","cnn_lstm_50_10_thesis_pretrained_48"
"noGesture","noGesture","9","jz9z6bvb","7437","cnn_lstm_50_10_thesis_pretrained_48"
"noGesture","open","9","jz9z6bvb","38","cnn_lstm_50_10_thesis_pretrained_48"
"noGesture","pinch","9","jz9z6bvb","37","cnn_lstm_50_10_thesis_pretrained_48"
"noGesture","waveIn","9","jz9z6bvb","123","cnn_lstm_50_10_thesis_pretrained_48"
"noGesture","waveOut","9","jz9z6bvb","12","cnn_lstm_50_10_thesis_pretrained_48"
"open","fist","9","jz9z6bvb","792","cnn_lstm_50_10_thesis_pretrained_48"
"open","noGesture","9","jz9z6bvb","16","cnn_lstm_50_10_thesis_pretrained_48"
"open","open","9","jz9z6bvb","3953","cnn_lstm_50_10_thesis_pretrained_48"
"open","pinch","9","jz9z6bvb","1014","cnn_lstm_50_10_thesis_pretrained_48"
"open","waveIn","9","jz9z6bvb","334","cnn_lstm_50_10_thesis_pretrained_48"
"open","waveOut","9","jz9z6bvb","1541","cnn_lstm_50_10_thesis_pretrained_48"
"pinch","fist","9","jz9z6bvb","755","cnn_lstm_50_10_thesis_pretrained_48"
"pinch","noGesture","9","jz9z6bvb","46","cnn_lstm_50_10_thesis_pretrained_48"
"pinch","open","9","jz9z6bvb","984","cnn_lstm_50_10_thesis_pretrained_48"
"pinch","pinch","9","jz9z6bvb","4636","cnn_lstm_50_10_thesis_pretrained_48"
"pinch","waveIn","9","jz9z6bvb","889","cnn_lstm_50_10_thesis_pretrained_48"
"pinch","waveOut","9","jz9z6bvb","340","cnn_lstm_50_10_thesis_pretrained_48"
"waveIn","fist","9","jz9z6bvb","791","cnn_lstm_50_10_thesis_pretrained_48"
"waveIn","noGesture","9","jz9z6bvb","26","cnn_lstm_50_10_thesis_pretrained_48"
"waveIn","open","9","jz9z6bvb","299","cnn_lstm_50_10_thesis_pretrained_48"
"waveIn","pinch","9","jz9z6bvb","951","cnn_lstm_50_10_thesis_pretrained_48"
"waveIn","waveIn","9","jz9z6bvb","5483","cnn_lstm_50_10_thesis_pretrained_48"
"waveIn","waveOut","9","jz9z6bvb","100","cnn_lstm_50_10_thesis_pretrained_48"
"waveOut","fist","9","jz9z6bvb","90","cnn_lstm_50_10_thesis_pretrained_48"
"waveOut","noGesture","9","jz9z6bvb","16","cnn_lstm_50_10_thesis_pretrained_48"
"waveOut","open","9","jz9z6bvb","1105","cnn_lstm_50_10_thesis_pretrained_48"
"waveOut","pinch","9","jz9z6bvb","391","cnn_lstm_50_10_thesis_pretrained_48"
"waveOut","waveIn","9","jz9z6bvb","101","cnn_lstm_50_10_thesis_pretrained_48"
"waveOut","waveOut","9","jz9z6bvb","5947","cnn_lstm_50_10_thesis_pretrained_48"
"fist","fist","8","whw0io07","4989","cnn_lstm_50_10_thesis_pretrained_47"
"fist","noGesture","8","whw0io07","15","cnn_lstm_50_10_thesis_pretrained_47"
"fist","open","8","whw0io07","523","cnn_lstm_50_10_thesis_pretrained_47"
"fist","pinch","8","whw0io07","506","cnn_lstm_50_10_thesis_pretrained_47"
"fist","waveIn","8","whw0io07","1483","cnn_lstm_50_10_thesis_pretrained_47"
"fist","waveOut","8","whw0io07","134","cnn_lstm_50_10_thesis_pretrained_47"
"noGesture","fist","8","whw0io07","21","cnn_lstm_50_10_thesis_pretrained_47"
"noGesture","noGesture","8","whw0io07","7455","cnn_lstm_50_10_thesis_pretrained_47"
"noGesture","open","8","whw0io07","35","cnn_lstm_50_10_thesis_pretrained_47"
"noGesture","pinch","8","whw0io07","32","cnn_lstm_50_10_thesis_pretrained_47"
"noGesture","waveIn","8","whw0io07","95","cnn_lstm_50_10_thesis_pretrained_47"
"noGesture","waveOut","8","whw0io07","12","cnn_lstm_50_10_thesis_pretrained_47"
"open","fist","8","whw0io07","506","cnn_lstm_50_10_thesis_pretrained_47"
"open","noGesture","8","whw0io07","7","cnn_lstm_50_10_thesis_pretrained_47"
"open","open","8","whw0io07","4208","cnn_lstm_50_10_thesis_pretrained_47"
"open","pinch","8","whw0io07","1210","cnn_lstm_50_10_thesis_pretrained_47"
"open","waveIn","8","whw0io07","448","cnn_lstm_50_10_thesis_pretrained_47"
"open","waveOut","8","whw0io07","1271","cnn_lstm_50_10_thesis_pretrained_47"
"pinch","fist","8","whw0io07","747","cnn_lstm_50_10_thesis_pretrained_47"
"pinch","noGesture","8","whw0io07","34","cnn_lstm_50_10_thesis_pretrained_47"
"pinch","open","8","whw0io07","1245","cnn_lstm_50_10_thesis_pretrained_47"
"pinch","pinch","8","whw0io07","4068","cnn_lstm_50_10_thesis_pretrained_47"
"pinch","waveIn","8","whw0io07","1100","cnn_lstm_50_10_thesis_pretrained_47"
"pinch","waveOut","8","whw0io07","456","cnn_lstm_50_10_thesis_pretrained_47"
"waveIn","fist","8","whw0io07","2028","cnn_lstm_50_10_thesis_pretrained_47"
"waveIn","noGesture","8","whw0io07","21","cnn_lstm_50_10_thesis_pretrained_47"
"waveIn","open","8","whw0io07","384","cnn_lstm_50_10_thesis_pretrained_47"
"waveIn","pinch","8","whw0io07","595","cnn_lstm_50_10_thesis_pretrained_47"
"waveIn","waveIn","8","whw0io07","4521","cnn_lstm_50_10_thesis_pretrained_47"
"waveIn","waveOut","8","whw0io07","101","cnn_lstm_50_10_thesis_pretrained_47"
"waveOut","fist","8","whw0io07","59","cnn_lstm_50_10_thesis_pretrained_47"
"waveOut","noGesture","8","whw0io07","10","cnn_lstm_50_10_thesis_pretrained_47"
"waveOut","open","8","whw0io07","1524","cnn_lstm_50_10_thesis_pretrained_47"
"waveOut","pinch","8","whw0io07","445","cnn_lstm_50_10_thesis_pretrained_47"
"waveOut","waveIn","8","whw0io07","143","cnn_lstm_50_10_thesis_pretrained_47"
"waveOut","waveOut","8","whw0io07","5469","cnn_lstm_50_10_thesis_pretrained_47"
"fist","fist","7","024d72lm","4416","cnn_lstm_50_10_thesis_pretrained_46"
"fist","noGesture","7","024d72lm","41","cnn_lstm_50_10_thesis_pretrained_46"
"fist","open","7","024d72lm","1110","cnn_lstm_50_10_thesis_pretrained_46"
"fist","pinch","7","024d72lm","691","cnn_lstm_50_10_thesis_pretrained_46"
"fist","waveIn","7","024d72lm","1342","cnn_lstm_50_10_thesis_pretrained_46"
"fist","waveOut","7","024d72lm","50","cnn_lstm_50_10_thesis_pretrained_46"
"noGesture","fist","7","024d72lm","8","cnn_lstm_50_10_thesis_pretrained_46"
"noGesture","noGesture","7","024d72lm","7571","cnn_lstm_50_10_thesis_pretrained_46"
"noGesture","open","7","024d72lm","4","cnn_lstm_50_10_thesis_pretrained_46"
"noGesture","pinch","7","024d72lm","20","cnn_lstm_50_10_thesis_pretrained_46"
"noGesture","waveIn","7","024d72lm","39","cnn_lstm_50_10_thesis_pretrained_46"
"noGesture","waveOut","7","024d72lm","8","cnn_lstm_50_10_thesis_pretrained_46"
"open","fist","7","024d72lm","665","cnn_lstm_50_10_thesis_pretrained_46"
"open","noGesture","7","024d72lm","46","cnn_lstm_50_10_thesis_pretrained_46"
"open","open","7","024d72lm","4381","cnn_lstm_50_10_thesis_pretrained_46"
"open","pinch","7","024d72lm","1421","cnn_lstm_50_10_thesis_pretrained_46"
"open","waveIn","7","024d72lm","294","cnn_lstm_50_10_thesis_pretrained_46"
"open","waveOut","7","024d72lm","843","cnn_lstm_50_10_thesis_pretrained_46"
"pinch","fist","7","024d72lm","821","cnn_lstm_50_10_thesis_pretrained_46"
"pinch","noGesture","7","024d72lm","87","cnn_lstm_50_10_thesis_pretrained_46"
"pinch","open","7","024d72lm","1282","cnn_lstm_50_10_thesis_pretrained_46"
"pinch","pinch","7","024d72lm","4741","cnn_lstm_50_10_thesis_pretrained_46"
"pinch","waveIn","7","024d72lm","490","cnn_lstm_50_10_thesis_pretrained_46"
"pinch","waveOut","7","024d72lm","229","cnn_lstm_50_10_thesis_pretrained_46"
"waveIn","fist","7","024d72lm","1414","cnn_lstm_50_10_thesis_pretrained_46"
"waveIn","noGesture","7","024d72lm","157","cnn_lstm_50_10_thesis_pretrained_46"
"waveIn","open","7","024d72lm","427","cnn_lstm_50_10_thesis_pretrained_46"
"waveIn","pinch","7","024d72lm","616","cnn_lstm_50_10_thesis_pretrained_46"
"waveIn","waveIn","7","024d72lm","4865","cnn_lstm_50_10_thesis_pretrained_46"
"waveIn","waveOut","7","024d72lm","171","cnn_lstm_50_10_thesis_pretrained_46"
"waveOut","fist","7","024d72lm","68","cnn_lstm_50_10_thesis_pretrained_46"
"waveOut","noGesture","7","024d72lm","48","cnn_lstm_50_10_thesis_pretrained_46"
"waveOut","open","7","024d72lm","1528","cnn_lstm_50_10_thesis_pretrained_46"
"waveOut","pinch","7","024d72lm","260","cnn_lstm_50_10_thesis_pretrained_46"
"waveOut","waveIn","7","024d72lm","114","cnn_lstm_50_10_thesis_pretrained_46"
"waveOut","waveOut","7","024d72lm","5632","cnn_lstm_50_10_thesis_pretrained_46"
"fist","fist","6","u6l07gou","4854","cnn_lstm_50_10_thesis_pretrained_45"
"fist","noGesture","6","u6l07gou","4","cnn_lstm_50_10_thesis_pretrained_45"
"fist","open","6","u6l07gou","455","cnn_lstm_50_10_thesis_pretrained_45"
"fist","pinch","6","u6l07gou","602","cnn_lstm_50_10_thesis_pretrained_45"
"fist","waveIn","6","u6l07gou","1644","cnn_lstm_50_10_thesis_pretrained_45"
"fist","waveOut","6","u6l07gou","91","cnn_lstm_50_10_thesis_pretrained_45"
"noGesture","fist","6","u6l07gou","10","cnn_lstm_50_10_thesis_pretrained_45"
"noGesture","noGesture","6","u6l07gou","7532","cnn_lstm_50_10_thesis_pretrained_45"
"noGesture","open","6","u6l07gou","12","cnn_lstm_50_10_thesis_pretrained_45"
"noGesture","pinch","6","u6l07gou","34","cnn_lstm_50_10_thesis_pretrained_45"
"noGesture","waveIn","6","u6l07gou","41","cnn_lstm_50_10_thesis_pretrained_45"
"noGesture","waveOut","6","u6l07gou","21","cnn_lstm_50_10_thesis_pretrained_45"
"open","fist","6","u6l07gou","522","cnn_lstm_50_10_thesis_pretrained_45"
"open","noGesture","6","u6l07gou","9","cnn_lstm_50_10_thesis_pretrained_45"
"open","open","6","u6l07gou","3831","cnn_lstm_50_10_thesis_pretrained_45"
"open","pinch","6","u6l07gou","1430","cnn_lstm_50_10_thesis_pretrained_45"
"open","waveIn","6","u6l07gou","429","cnn_lstm_50_10_thesis_pretrained_45"
"open","waveOut","6","u6l07gou","1429","cnn_lstm_50_10_thesis_pretrained_45"
"pinch","fist","6","u6l07gou","693","cnn_lstm_50_10_thesis_pretrained_45"
"pinch","noGesture","6","u6l07gou","51","cnn_lstm_50_10_thesis_pretrained_45"
"pinch","open","6","u6l07gou","1102","cnn_lstm_50_10_thesis_pretrained_45"
"pinch","pinch","6","u6l07gou","4569","cnn_lstm_50_10_thesis_pretrained_45"
"pinch","waveIn","6","u6l07gou","906","cnn_lstm_50_10_thesis_pretrained_45"
"pinch","waveOut","6","u6l07gou","329","cnn_lstm_50_10_thesis_pretrained_45"
"waveIn","fist","6","u6l07gou","1190","cnn_lstm_50_10_thesis_pretrained_45"
"waveIn","noGesture","6","u6l07gou","59","cnn_lstm_50_10_thesis_pretrained_45"
"waveIn","open","6","u6l07gou","264","cnn_lstm_50_10_thesis_pretrained_45"
"waveIn","pinch","6","u6l07gou","674","cnn_lstm_50_10_thesis_pretrained_45"
"waveIn","waveIn","6","u6l07gou","5352","cnn_lstm_50_10_thesis_pretrained_45"
"waveIn","waveOut","6","u6l07gou","111","cnn_lstm_50_10_thesis_pretrained_45"
"waveOut","fist","6","u6l07gou","75","cnn_lstm_50_10_thesis_pretrained_45"
"waveOut","noGesture","6","u6l07gou","48","cnn_lstm_50_10_thesis_pretrained_45"
"waveOut","open","6","u6l07gou","1096","cnn_lstm_50_10_thesis_pretrained_45"
"waveOut","pinch","6","u6l07gou","378","cnn_lstm_50_10_thesis_pretrained_45"
"waveOut","waveIn","6","u6l07gou","220","cnn_lstm_50_10_thesis_pretrained_45"
